"Song","Artist","Title","Quadrant","PQuad","MoodsTotal","Moods","MoodsFoundStr","MoodsStr","MoodsStrSplit","Genres","GenresStr","Sample","SampleURL"
"MT0000315392","Michael Franks","When You Smiled At Me","Q3",0.6,5,4,"indulgent, lazy, naive, precious","Indulgent, Lazy, Naive, Precious, Sugary","Indulgent, Lazy, Naive, Precious, Sugary",2,"Vocal, Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=4mtKvxwY4MNT_htwJcEiLGjIb8Tr8vVfGLIuM5x_WSg=&f=J"
"MT0000336135","Dean Martin","Volare (Nel Blu di Pinto di Blu)","Q4",0.6875,16,15,"carefree, cheerful, confident, delicate, elegant, gentle, intimate, light, lush, playful, romantic, smooth, soothing, sweet, warm","Carefree, Cheerful, Confident, Delicate, Elegant, Gentle, Intimate, Light, Lush, Playful, Romantic, Smooth, Soothing, Springlike, Sweet, Warm","Carefree, Cheerful, Confident, Delicate, Elegant, Gentle, Intimate, Light, Lush, Playful, Romantic, Smooth, Soothing, Springlike, Sweet, Warm",1,"Vocal",1,"http://rovimusic.rovicorp.com/playback.mp3?c=3ksGvFFAT-wJ89cxLhASXGjIb8Tr8vVfGLIuM5x_WSg=&f=J"
"MT0000348553","The Kingston Trio","Scotch & Soda","Q4",0.75,4,4,"joyous, quirky, rustic, whimsical","Joyous, Quirky, Rustic, Whimsical","Joyous, Quirky, Rustic, Whimsical",1,"Folk",1,"http://rovimusic.rovicorp.com/playback.mp3?c=DGqWnrhs9EtB8hZJwDcEVs2KXJKuJLE7UG4BJXcyKZ4=&f=J"
"MT0000364027","Secret Garden","Elan","Q1",0.75,4,4,"explosive, mystical, positive, thrilling","Explosive, Mystical, Positive, Thrilling","Explosive, Mystical, Positive, Thrilling",2,"Folk, International",1,"http://rovimusic.rovicorp.com/playback.mp3?c=sNWbZqE7xok5lIBeua5cF2jIb8Tr8vVfGLIuM5x_WSg=&f=J"
"MT0000369789","Bobby McFerrin","Common Threads","Q4",1,4,4,"calm, delicate, peaceful, soothing","Calm/Peaceful, Delicate, Soothing","Calm, Peaceful, Delicate, Soothing",2,"Children's, Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=LU0G0OTwRgJt2oK0xR0JPZjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0000377411","Eyehategod","Take as Needed for Pain","Q2",0.555555555555556,9,7,"angry, fiery, hostile, menacing, paranoid, rebellious, volatile","Angry, Confrontational, Fiery, Hostile, Malevolent, Menacing, Paranoid, Rebellious, Volatile","Angry, Confrontational, Fiery, Hostile, Malevolent, Menacing, Paranoid, Rebellious, Volatile",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=NuBIIIQ38Cv6a3Qrh3gQ8KwfpsQHuOlGC4-o-yXc8Os=&f=J"
"MT0000379144","Lloyd Price","Lord, Lord, Amen!","Q3",0.8,5,5,"anguished, distraught, greasy, lazy, naive","Anguished/Distraught, Greasy, Lazy, Naive","Anguished, Distraught, Greasy, Lazy, Naive",1,"R&B",1,"http://rovimusic.rovicorp.com/playback.mp3?c=Z8TxtQJpN-nTUzPoDd29CfKUU23ZQzDPVjJ3ONioHGo=&f=J"
"MT0000392975","Donald Byrd","Bronze Dance","Q1",0.6,5,3,"lively, positive, strong","Lively, Positive, Pulsing, Strong, Swinging","Lively, Positive, Pulsing, Strong, Swinging",1,"Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=Pu4bY4rhSzVqhT3dBiqlSDqpU4hxl5saPDaNIVORh-E=&f=J"
"MT0000414517","Gipsy Kings","Hermanos","Q1",0.75,4,3,"fiery, sexy, spicy","Cathartic, Fiery, Sexy, Spicy","Cathartic, Fiery, Sexy, Spicy",2,"International, Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=84KalHHKNpltgzqAGcWdHP3pqi0RS20pHqZddGAWQOA=&f=J"
"MT0000426771","Einstürzende Neubauten","Schwindel","Q3",0.555555555555556,9,9,"bleak, cerebral, detached, fiery, harsh, manic, menacing, ominous, volatile","Bleak, Cerebral, Detached, Fiery, Harsh, Manic, Menacing, Ominous, Volatile","Bleak, Cerebral, Detached, Fiery, Harsh, Manic, Menacing, Ominous, Volatile",2,"Pop/Rock, Electronic",1,"http://rovimusic.rovicorp.com/playback.mp3?c=gVUmEPgz2qA8Yx6Uifj0Vc2KXJKuJLE7UG4BJXcyKZ4=&f=J"
"MT0000441552","Gatsbys American Dream","Station 5: The Pearl","Q2",0.666666666666667,3,3,"bitter, fierce, outraged","Bitter, Fierce, Outraged","Bitter, Fierce, Outraged",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=Ctsjt7ME70WtnTNGaX47Fv3pqi0RS20pHqZddGAWQOA=&f=J"
"MT0000442827","Dizzy Gillespie","Salt Peanuts","Q1",0.75,4,3,"energetic, happy, lively","Energetic, Exuberant, Happy, Lively","Energetic, Exuberant, Happy, Lively",1,"Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=kF1geDDC12D5lIw7F4HNZoapJnH0KBK7tayJ1L1z1aM=&f=J"
"MT0000446304","Michael Franks","Why Spring Ain't Here","Q3",0.6,5,4,"indulgent, lazy, naive, precious","Indulgent, Lazy, Naive, Precious, Sugary","Indulgent, Lazy, Naive, Precious, Sugary",2,"Vocal, Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=38LuuyGH3k-Dn6qzzrX3GpjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0000456939","Blindside","Come to Rest","Q2",0.75,4,4,"explosive, jittery, negative, nervous","Explosive, Negative, Nervous/Jittery","Explosive, Negative, Nervous, Jittery",4,"Electronic, International, Pop/Rock, Religious",1,"http://rovimusic.rovicorp.com/playback.mp3?c=MotWU9hXPaL4zZmUB9MgRmjIb8Tr8vVfGLIuM5x_WSg=&f=J"
"MT0000460427","Tuck & Patti","Body & Soul","Q4",1,3,3,"agreeable, optimistic, pure","Agreeable, Optimistic, Pure","Agreeable, Optimistic, Pure",2,"Easy Listening, Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=7OupL3_ZINGrvmQfIVy3Z_QIxMnXLaW9NvEpt_rvU6E=&f=J"
"MT0000522789","The Soul Stirrers","My Loved Ones Are Waiting for Me (Waiting and Watching)","Q4",0.9,10,9,"atmospheric, calm, circular, hypnotic, organic, peaceful, reverent, soothing, spiritual","Atmospheric, Calm/Peaceful, Circular, Exuberant, Hypnotic, Organic, Reverent, Soothing, Spiritual","Atmospheric, Calm, Peaceful, Circular, Exuberant, Hypnotic, Organic, Reverent, Soothing, Spiritual",2,"R&B, Religious",1,"http://rovimusic.rovicorp.com/playback.mp3?c=mNSWPhb1924xsad9_lI0sfKUU23ZQzDPVjJ3ONioHGo=&f=J"
"MT0000523076","Eddie Heywood and His Orchestra","Trav'lin' Light","Q3",0.571428571428571,7,7,"brooding, delicate, gloomy, quiet, sad, soft, weary","Brooding, Delicate, Gloomy, Sad, Soft/Quiet, Weary","Brooding, Delicate, Gloomy, Sad, Soft, Quiet, Weary",2,"Jazz, Vocal",1,"http://rovimusic.rovicorp.com/playback.mp3?c=FlOokEhir2hj13NlWgiKqPQIxMnXLaW9NvEpt_rvU6E=&f=J"
"MT0000534539","Anthony Newley","Who Can I Turn To (When Nobody Needs Me)","Q3",0.714285714285714,7,6,"anguished, bleak, distraught, gloomy, indulgent, sad","Angst-Ridden, Anguished/Distraught, Bleak, Gloomy, Indulgent, Sad","Angst-Ridden, Anguished, Distraught, Bleak, Gloomy, Indulgent, Sad",3,"Pop/Rock, Vocal, Stage & Screen",1,"http://rovimusic.rovicorp.com/playback.mp3?c=YLC0B379rCN-orCAEe-bwvQIxMnXLaW9NvEpt_rvU6E=&f=J"
"MT0000540286","Louis Armstrong","Put 'Em Down Blues","Q1",0.666666666666667,6,4,"cheerful, exciting, happy, joyous","Cheerful, Exciting, Gleeful, Happy, Joyous, Rambunctious","Cheerful, Exciting, Gleeful, Happy, Joyous, Rambunctious",1,"Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=SVIHk6X9-V2NR6m9tdS5L_KUU23ZQzDPVjJ3ONioHGo=&f=J"
"MT0000550961","John Denver","Four Strong Winds","Q4",0.666666666666667,6,6,"agreeable, lonely, nostalgic, pure, sad, serious","Agreeable, Lonely, Nostalgic, Pure, Sad, Serious","Agreeable, Lonely, Nostalgic, Pure, Sad, Serious",5,"Country, Easy Listening, Folk, International, Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=a4I3I64aP5PPifzMJxRWNc2KXJKuJLE7UG4BJXcyKZ4=&f=J"
"MT0000636335","Olu Dara","Mami Wata","Q4",0.75,4,3,"atmospheric, organic, reverent","Atmospheric, Ethereal, Organic, Reverent","Atmospheric, Ethereal, Organic, Reverent",2,"Blues, International",1,"http://rovimusic.rovicorp.com/playback.mp3?c=wMG2G62RbMbxwnEW6ZAP8_3pqi0RS20pHqZddGAWQOA=&f=J"
"MT0000661250","Alexis Korner","The Love You Save","Q3",0.666666666666667,3,3,"lonely, pure, sad","Lonely, Pure, Sad","Lonely, Pure, Sad",2,"Blues, Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=laH_Q4pM1RywBbMMogkgCzqpU4hxl5saPDaNIVORh-E=&f=I"
"MT0000661847","Vince Gill","Let There Be Peace on Earth","Q4",0.875,8,7,"precious, quiet, reserved, reverent, soft, soothing, spiritual","Precious, Reserved, Reverent, Soft/Quiet, Somber, Soothing, Spiritual","Precious, Reserved, Reverent, Soft, Quiet, Somber, Soothing, Spiritual",2,"Holiday, Country",1,"http://rovimusic.rovicorp.com/playback.mp3?c=tkoWL0bsMQd2KAr-x_G6Svh0BJxFGWncDvRkmPV4knk=&f=J"
"MT0000664362","Harry Connick, Jr.","Hello Dolly","Q1",0.6,15,11,"bravado, earthy, energetic, fun, happy, joyous, lively, passionate, playful, romantic, sensual","Bravado, Celebratory, Earthy, Energetic, Exuberant, Freewheeling, Fun, Happy, Joyous, Lively, Passionate, Playful, Rollicking, Romantic, Sensual","Bravado, Celebratory, Earthy, Energetic, Exuberant, Freewheeling, Fun, Happy, Joyous, Lively, Passionate, Playful, Rollicking, Romantic, Sensual",2,"Jazz, Vocal",1,"http://rovimusic.rovicorp.com/playback.mp3?c=tDjs0ARFoGwt68ScgNz0aP3pqi0RS20pHqZddGAWQOA=&f=J"
"MT0000698081","NDR Bigband","Polka Dots And Moonbeams","Q4",0.666666666666667,6,5,"agreeable, calm, nostalgic, peaceful, positive","Agreeable, Calm/Peaceful, Nostalgic, Positive, Pulsing","Agreeable, Calm, Peaceful, Nostalgic, Positive, Pulsing",2,"International, Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=bws5wVq0jxcLFfgSHgNZEGjIb8Tr8vVfGLIuM5x_WSg=&f=J"
"MT0000711493","Vicentico","Cuidado","Q4",0.666666666666667,3,3,"ironic, powerful, serious","Ironic, Powerful, Serious","Ironic, Powerful, Serious",2,"International, Latin",1,"http://rovimusic.rovicorp.com/playback.mp3?c=ffr0lY01tlUrsGW65syIHpjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0000729701","Eyehategod","30$ Bag","Q2",0.6,5,4,"angry, hostile, menacing, paranoid","Angry, Hostile, Malevolent, Menacing, Paranoid","Angry, Hostile, Malevolent, Menacing, Paranoid",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=NuBIIIQ38Cv6a3Qrh3gQ8JjWf7KriH64XH0cLbjLrOY=&f=J"
"MT0000732821","Lutan Fyah","No Draw No Blood","Q2",0.666666666666667,3,3,"angry, bitter, hostile","Angry, Bitter, Hostile","Angry, Bitter, Hostile",1,"Reggae",1,"http://rovimusic.rovicorp.com/playback.mp3?c=IufBjv_2IhkzESw7QLsRkvKUU23ZQzDPVjJ3ONioHGo=&f=J"
"MT0000742898","Clifton Chenier","Ain't No Need of Crying (Every Day Is the Same/Louisiana Blues)","Q3",0.666666666666667,3,3,"greasy, lazy, spicy","Greasy, Lazy, Spicy","Greasy, Lazy, Spicy",3,"International, Blues, R&B",1,"http://rovimusic.rovicorp.com/playback.mp3?c=C-MmGHDgWJmsb5iI9yqgtv3pqi0RS20pHqZddGAWQOA=&f=J"
"MT0000746822","Cluster","Es War Einmal","Q4",0.7,10,7,"calm, delicate, peaceful, quiet, reserved, soft, sparkling","Calm/Peaceful, Delicate, Ethereal, Reserved, Restrained, Soft/Quiet, Spacey, Sparkling","Calm, Peaceful, Delicate, Ethereal, Reserved, Restrained, Soft, Quiet, Spacey, Sparkling",3,"Avant-Garde, Pop/Rock, Electronic",1,"http://rovimusic.rovicorp.com/playback.mp3?c=1wSD9sMDk10nq-KU1UWvKPh0BJxFGWncDvRkmPV4knk=&f=J"
"MT0000762097","Bing Crosby","God Rest Ye Merry Gentleman","Q4",1,6,6,"calm, delicate, peaceful, reserved, reverent, stately","Calm/Peaceful, Delicate, Reserved, Reverent, Stately","Calm, Peaceful, Delicate, Reserved, Reverent, Stately",2,"Holiday, Vocal",1,"http://rovimusic.rovicorp.com/playback.mp3?c=Now4yjt8tBuFlsGhuLER__QIxMnXLaW9NvEpt_rvU6E=&f=J"
"MT0000764951","Billie Holiday","Where Is the Sun?","Q3",0.571428571428571,7,6,"bittersweet, bleak, delicate, gloomy, melancholy, sad","Autumnal, Bittersweet, Bleak, Delicate, Gloomy, Melancholy, Sad","Autumnal, Bittersweet, Bleak, Delicate, Gloomy, Melancholy, Sad",3,"Jazz, Vocal, Blues",1,"http://rovimusic.rovicorp.com/playback.mp3?c=kBR9vgqCYOfMbVX0u-ob-vQIxMnXLaW9NvEpt_rvU6E=&f=J"
"MT0000796526","Los Dandy's","Yerba Mala","Q3",0.666666666666667,3,3,"anguished, distraught, sad","Anguished/Distraught, Sad","Anguished, Distraught, Sad",2,"International, Latin",1,"http://rovimusic.rovicorp.com/playback.mp3?c=ZCMLg8hfp-y9C0g4EOY4yPh0BJxFGWncDvRkmPV4knk=&f=J"
"MT0000821772","The Sam Price Trio","This Train","Q4",0.666666666666667,3,3,"joyous, reverent, spiritual","Joyous, Reverent, Spiritual","Joyous, Reverent, Spiritual",3,"Blues, Religious, Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=eKKCcdZqJdmQ2b_7fgirVc2KXJKuJLE7UG4BJXcyKZ4=&f=J"
"MT0000888329","Bob Marley","Dreamland","Q4",0.571428571428571,14,9,"atmospheric, earnest, earthy, gentle, intimate, mellow, poignant, sentimental, soothing","Atmospheric, Earnest, Earthy, Gentle, Intimate, Laid-Back/Mellow, Plaintive, Poignant, Sentimental, Soothing, Summery, Wistful, Yearning","Atmospheric, Earnest, Earthy, Gentle, Intimate, Laid-Back, Mellow, Plaintive, Poignant, Sentimental, Soothing, Summery, Wistful, Yearning",1,"Reggae",1,"http://rovimusic.rovicorp.com/playback.mp3?c=uqMJhEB89qXRFaVO1ve_7awfpsQHuOlGC4-o-yXc8Os=&f=J"
"MT0000901959","Common","Pops Rap III...All My Children","Q4",0.833333333333333,6,6,"calm, cerebral, nocturnal, organic, peaceful, spiritual","Calm/Peaceful, Cerebral, Nocturnal, Organic, Spiritual","Calm, Peaceful, Cerebral, Nocturnal, Organic, Spiritual",1,"Rap",1,"http://rovimusic.rovicorp.com/playback.mp3?c=OQXuQqqoVY8NcH04uCYH_M2KXJKuJLE7UG4BJXcyKZ4=&f=J"
"MT0000922312","Sarah Brightman","Attesa","Q4",0.555555555555556,9,8,"atmospheric, elaborate, epic, indulgent, lush, precious, sensual, theatrical","Atmospheric, Elaborate, Epic, Indulgent, Lush, Precious, Sensual, Sprawling, Theatrical","Atmospheric, Elaborate, Epic, Indulgent, Lush, Precious, Sensual, Sprawling, Theatrical",2,"Stage & Screen, Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=rNwxLn8JjJY8huu2YWAPD_3pqi0RS20pHqZddGAWQOA=&f=J"
"MT0000941301","Eddie Heywood","Trav'lin' Light","Q3",0.571428571428571,7,7,"brooding, delicate, gloomy, quiet, sad, soft, weary","Brooding, Delicate, Gloomy, Sad, Soft/Quiet, Weary","Brooding, Delicate, Gloomy, Sad, Soft, Quiet, Weary",2,"Jazz, Vocal",1,"http://rovimusic.rovicorp.com/playback.mp3?c=TUpD-3WwJle1Q3Ikone1WPQIxMnXLaW9NvEpt_rvU6E=&f=I"
"MT0000949813","Enrique Morente","Mi Hora Mala Llego (Siguiriyas)","Q3",0.666666666666667,3,3,"lonely, sad, serious","Lonely, Sad, Serious","Lonely, Sad, Serious",2,"Folk, International",1,"http://rovimusic.rovicorp.com/playback.mp3?c=n_ABaOcwVSA6iPSdp1rBpPh0BJxFGWncDvRkmPV4knk=&f=I"
"MT0000956340","Xzibit","Break Yourself","Q2",0.6,10,9,"anxious, cold, hostile, menacing, reckless, snide, tense, uncompromising, volatile","Cold, Hostile, Menacing, Reckless, Snide, Tense/Anxious, Thuggish, Uncompromising, Volatile","Cold, Hostile, Menacing, Reckless, Snide, Tense, Anxious, Thuggish, Uncompromising, Volatile",1,"Rap",1,"http://rovimusic.rovicorp.com/playback.mp3?c=XbUov7zTkAdQNH8vCvMaDfQIxMnXLaW9NvEpt_rvU6E=&f=J"
"MT0000971834","Peter Brötzmann","Fiddle-Faddle","Q2",0.571428571428571,7,5,"complex, fierce, rebellious, uncompromising, volatile","Cathartic, Complex, Fierce, Rebellious, Uncompromising, Unsettling, Volatile","Cathartic, Complex, Fierce, Rebellious, Uncompromising, Unsettling, Volatile",1,"Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=8MFLf5fQYswEKdmke93vXPKUU23ZQzDPVjJ3ONioHGo=&f=J"
"MT0000980148","Glenn Miller","The Booglie Wooglie Piggy","Q4",0.666666666666667,3,3,"happy, lush, sparkling","Happy, Lush, Sparkling","Happy, Lush, Sparkling",1,"Jazz",1,"http://rovimusic.rovicorp.com/playback.mp3?c=vKmzH0WkyDHDlqWNkuV0EM2KXJKuJLE7UG4BJXcyKZ4=&f=J"
"MT0000992846","Barenaked Ladies","Shoe Box","Q1",0.545454545454545,11,10,"amiable, cheerful, energetic, fun, happy, innocent, playful, quirky, silly, witty","Amiable/Good-Natured, Cheerful, Energetic, Fun, Happy, Innocent, Playful, Quirky, Silly, Witty","Amiable, Good-Natured, Cheerful, Energetic, Fun, Happy, Innocent, Playful, Quirky, Silly, Witty",1,"Pop/Rock",1,"http://rovimusic.rovicorp.com/playback.mp3?c=RLbb04rU_Q3CHCICcI78Bc2KXJKuJLE7UG4BJXcyKZ4=&f=J"
"MT0001052263","Gene Ammons","Since I Fell for You","Q3",0.666666666666667,3,3,"naive, stately, weary","Naive, Stately, Weary","Naive, Stately, Weary",3,"Jazz, Vocal, Easy Listening",1,"http://rovimusic.rovicorp.com/playback.mp3?c=ZTPqNVgAjc6hNlF9OUWjFPKUU23ZQzDPVjJ3ONioHGo=&f=J"
