Song,Quadrant
MT0003243311,Q1
MT0003248394,Q1
MT0003262589,Q2
MT0003272751,Q1
MT0003280103,Q4
MT0003286463,Q1
MT0003300388,Q3
MT0003311798,Q2
MT0003326925,Q2
MT0003349423,Q2
MT0003352308,Q3
MT0003362542,Q3
MT0003366948,Q4
MT0003390733,Q1
MT0003396470,Q3
MT0003402538,Q3
MT0003420996,Q3
MT0003435704,Q3
MT0003442366,Q2
MT0003454112,Q4
MT0003462877,Q2
MT0003501434,Q3
MT0003530174,Q3
MT0003542756,Q3
MT0003546058,Q2
MT0003570082,Q1
MT0003594672,Q1
MT0003601752,Q3
MT0003603772,Q1
MT0003639120,Q2
MT0003669917,Q1
MT0003710207,Q4
MT0003724610,Q1
MT0003778826,Q4
MT0003782002,Q2
MT0003787478,Q2
MT0003788939,Q1
MT0003794106,Q1
MT0003807077,Q2
MT0003863509,Q3
MT0003900455,Q2
MT0003903675,Q1
MT0003930610,Q3
MT0003935485,Q3
MT0003949060,Q1
MT0003956612,Q4
MT0003968586,Q2
MT0004027946,Q2
MT0004028719,Q2
MT0004032071,Q1
MT0004036096,Q4
MT0004037272,Q1
MT0004068560,Q2
MT0004082588,Q3
MT0004085907,Q2
MT0004089549,Q4
MT0004093767,Q4
MT0004122617,Q1
MT0004131058,Q3
MT0004141823,Q1
MT0004232099,Q3
MT0004263956,Q3
MT0004274911,Q4
MT0004287283,Q3
MT0004290389,Q3
MT0004293364,Q2
MT0004316859,Q2
MT0004331116,Q4
MT0004339430,Q1
MT0004342301,Q3
MT0004428604,Q1
MT0004447086,Q2
MT0004447226,Q1
MT0004459450,Q2
MT0004511265,Q2
MT0004537445,Q4
MT0004558461,Q2
MT0004584067,Q4
MT0004609722,Q3
MT0004645468,Q2
MT0004669603,Q1
MT0004683099,Q1
MT0004693207,Q3
MT0004711079,Q1
MT0004715422,Q2
MT0004751933,Q1
MT0004759106,Q4
MT0004759588,Q2
MT0004807446,Q2
MT0004817670,Q3
MT0004833310,Q4
MT0004840819,Q3
MT0004842694,Q3
MT0004850690,Q4
MT0004867185,Q2
MT0004867564,Q4
MT0004882280,Q2
MT0004896738,Q1
MT0004911454,Q4
MT0004922692,Q3
MT0004942017,Q2
MT0004956006,Q2
MT0004958762,Q2
MT0004978135,Q3
MT0004988249,Q3
MT0005001966,Q3
MT0005003824,Q1
MT0005026798,Q2
MT0005029328,Q2
MT0005039941,Q2
MT0005074629,Q4
MT0005083488,Q1
MT0005091539,Q4
MT0005115042,Q3
MT0005129157,Q4
MT0005155949,Q3
MT0005157391,Q3
MT0005163122,Q1
MT0005171805,Q3
MT0005202791,Q2
MT0005213723,Q2
MT0005217073,Q3
MT0005221680,Q3
MT0005239610,Q1
MT0005253065,Q3
MT0005261375,Q4
MT0005262725,Q3
MT0005265641,Q1
MT0005270263,Q3
MT0005285696,Q4
MT0005331755,Q1
MT0005387539,Q2
MT0005409948,Q2
MT0005469880,Q1
MT0005478759,Q1
MT0005515169,Q2
MT0005520274,Q3
MT0005523766,Q1
MT0005550288,Q2
MT0005550441,Q4
MT0005595173,Q2
MT0005606947,Q2
MT0005608787,Q4
MT0005625762,Q1
MT0005656534,Q4
MT0005673020,Q2
MT0005674518,Q1
MT0005695311,Q4
MT0005713768,Q1
MT0005737276,Q1
MT0005751512,Q2
MT0005752234,Q1
MT0005798527,Q4
MT0005832516,Q1
MT0005850999,Q4
MT0005884980,Q4
MT0005897799,Q2
MT0005951020,Q2
MT0005963165,Q3
MT0005981667,Q3
MT0005987148,Q4
MT0006001707,Q2
MT0006037085,Q4
MT0006096934,Q1
MT0006107326,Q4
MT0006117018,Q4
MT0006159067,Q3
MT0006164654,Q4
MT0006171393,Q3
MT0006254062,Q4
MT0006292011,Q2
MT0006315323,Q1
MT0006352493,Q4
MT0006367176,Q1
MT0006397809,Q3
MT0006400514,Q3
MT0006410285,Q3
MT0006484633,Q2
MT0006510599,Q2
MT0006520567,Q2
MT0006540794,Q1
MT0006552038,Q2
MT0006553914,Q2
MT0006555035,Q3
MT0006564487,Q2
MT0006640142,Q2
MT0006640857,Q1
MT0006672286,Q3
MT0006742179,Q2
MT0006746691,Q2
MT0006747288,Q1
MT0006764092,Q2
MT0006769480,Q4
MT0006798861,Q2
MT0006806145,Q2
MT0006810990,Q2
MT0006862088,Q2
MT0006903607,Q2
MT0006919273,Q3
MT0006919878,Q2
MT0006939177,Q2
MT0006955716,Q4
MT0006983241,Q4
MT0006996768,Q1
MT0007013069,Q1
MT0007039041,Q4
MT0007043504,Q2
MT0007043936,Q3
MT0007053424,Q4
MT0007057303,Q1
MT0007064420,Q4
MT0007067293,Q1
MT0007087238,Q4
MT0007099407,Q3
MT0007107079,Q4
MT0007119529,Q4
MT0007147603,Q1
MT0007186714,Q4
MT0007207968,Q4
MT0007232134,Q4
MT0007265208,Q3
MT0007338724,Q3
MT0007342701,Q4
MT0007349999,Q3
MT0007372035,Q3
MT0007379559,Q2
MT0007379700,Q2
MT0007410187,Q3
MT0007413949,Q2
MT0007438571,Q3
MT0007439502,Q1
MT0007443823,Q1
MT0007453719,Q4
MT0007477802,Q3
MT0007497706,Q3
MT0007535042,Q2
MT0007550652,Q3
MT0007556029,Q4
MT0007583962,Q3
MT0007610380,Q3
MT0007627521,Q2
MT0007652281,Q3
MT0007659703,Q2
MT0007697753,Q2
MT0007728545,Q3
MT0007766156,Q4
MT0007799677,Q2
MT0007812490,Q2
MT0007833171,Q4
MT0007840454,Q1
MT0007860263,Q3
MT0007914044,Q3
MT0007926918,Q2
MT0008007368,Q3
MT0008018703,Q3
MT0008077089,Q3
MT0008084656,Q2
MT0008137868,Q2
MT0008167476,Q4
MT0008170600,Q3
MT0008208983,Q2
MT0008222676,Q1
MT0008276791,Q1
MT0008340316,Q1
MT0008342962,Q4
MT0008346862,Q2
MT0008361425,Q2
MT0008363839,Q1
MT0008399774,Q3
MT0008401073,Q1
MT0008451831,Q2
MT0008455201,Q2
MT0008493270,Q3
MT0008511909,Q2
MT0008530072,Q2
MT0008570712,Q2
MT0008575372,Q1
MT0008596275,Q2
MT0008644609,Q1
MT0008665212,Q4
MT0008675527,Q1
MT0008684922,Q1
MT0008686594,Q4
MT0008716237,Q3
MT0008718991,Q3
MT0008733057,Q2
MT0008807220,Q2
MT0008841966,Q3
MT0008972801,Q1
MT0008979040,Q3
MT0008999898,Q3
MT0009010830,Q1
MT0009016829,Q2
MT0009041370,Q2
MT0009075362,Q4
MT0009117202,Q2
MT0009169626,Q3
MT0009182700,Q3
MT0009185069,Q4
MT0009188643,Q1
MT0009202768,Q1
MT0009208842,Q1
MT0009213083,Q1
MT0009217411,Q2
MT0009220462,Q3
MT0009253118,Q2
MT0009289348,Q4
MT0009293226,Q2
MT0009346128,Q2
MT0009348908,Q2
MT0009368615,Q3
MT0009378909,Q1
MT0009385684,Q3
MT0009421924,Q2
MT0009437817,Q3
MT0009521580,Q3
MT0009601423,Q2
MT0009619048,Q3
MT0009628869,Q3
MT0009693151,Q3
MT0009729892,Q1
MT0009741521,Q4
MT0009769814,Q4
MT0009800907,Q2
MT0009845271,Q1
MT0009845275,Q1
MT0009845276,Q1
MT0009872131,Q2
MT0009897495,Q1
MT0009904717,Q1
MT0009908994,Q2
MT0009991160,Q4
MT0009996318,Q3
MT0010085729,Q1
MT0010203716,Q4
MT0010310896,Q2
MT0010344415,Q1
MT0010375510,Q3
MT0010392442,Q1
MT0010415730,Q2
MT0010463505,Q2
MT0010465830,Q1
MT0010468178,Q3
MT0010482550,Q1
MT0010485603,Q4
MT0010487769,Q1
MT0010489498,Q1
MT0010490157,Q2
MT0010501618,Q1
MT0010585105,Q3
MT0010615428,Q2
MT0010617945,Q1
MT0010624346,Q2
MT0010665248,Q4
MT0010694663,Q1
MT0010707508,Q4
MT0010736208,Q2
MT0010739708,Q3
MT0010758927,Q4
MT0010804974,Q3
MT0010810859,Q4
MT0010818060,Q4
MT0010842738,Q4
MT0010850805,Q3
MT0010855214,Q4
MT0010897525,Q2
MT0010900969,Q1
MT0010965655,Q4
MT0010979481,Q4
MT0010983830,Q2
MT0010984486,Q4
MT0010998105,Q4
MT0011032905,Q3
MT0011051663,Q4
MT0011066228,Q3
MT0011095825,Q3
MT0011104152,Q1
MT0011145388,Q2
MT0011158114,Q3
MT0011230792,Q3
MT0011250965,Q4
MT0011259078,Q2
MT0011308097,Q3
MT0011322528,Q2
MT0011348776,Q2
MT0011354857,Q1
MT0011369407,Q2
MT0011376343,Q4
MT0011380622,Q4
MT0011391187,Q3
MT0011398970,Q3
MT0011413068,Q2
MT0011440705,Q3
MT0011458668,Q2
MT0011489804,Q2
MT0011560587,Q1
MT0011564855,Q1
MT0011574534,Q1
MT0011575842,Q1
MT0011594970,Q3
MT0011612883,Q3
MT0011667212,Q3
MT0011697297,Q2
MT0011702301,Q4
MT0011739779,Q1
MT0011786799,Q1
MT0011821215,Q1
MT0011836290,Q3
MT0011862487,Q4
MT0011869625,Q1
MT0011886148,Q4
MT0011894681,Q3
MT0011895175,Q4
MT0011899302,Q3
MT0011906602,Q4
MT0011916674,Q1
MT0011922080,Q4
MT0011922905,Q4
MT0011930865,Q1
MT0011938737,Q4
MT0011950450,Q1
MT0011957429,Q1
MT0011959819,Q2
MT0011960348,Q2
MT0011969592,Q3
MT0011975274,Q2
MT0011997914,Q1
MT0011999773,Q1
MT0012001409,Q2
MT0012008752,Q2
MT0012020062,Q3
MT0012027536,Q4
MT0012041920,Q1
MT0012112600,Q4
MT0012116237,Q2
MT0012124855,Q2
MT0012151268,Q4
MT0012168286,Q2
MT0012202513,Q1
MT0012222183,Q4
MT0012292188,Q3
MT0012317309,Q3
MT0012331779,Q1
MT0012333553,Q4
MT0012383717,Q4
MT0012396528,Q1
MT0012534566,Q1
MT0012601428,Q1
MT0012634038,Q3
MT0012658636,Q2
MT0012675695,Q3
MT0012742379,Q1
MT0012766840,Q4
MT0012794033,Q4
MT0012798988,Q1
MT0012846850,Q1
MT0012855159,Q2
MT0012862507,Q4
MT0012865192,Q2
MT0012888230,Q4
MT0012893353,Q4
MT0012914763,Q2
MT0012941049,Q4
MT0013044535,Q3
MT0013080259,Q3
MT0013095380,Q4
MT0013101577,Q1
MT0013161246,Q3
MT0013166908,Q3
MT0013173557,Q3
MT0013176970,Q4
MT0013177702,Q4
MT0013219857,Q3
MT0013235939,Q1
MT0013280170,Q4
MT0013313448,Q2
MT0013350034,Q1
MT0013389935,Q1
MT0013411556,Q4
MT0013416300,Q3
MT0013418800,Q2
MT0013486354,Q4
MT0013590244,Q1
MT0013612461,Q2
MT0013621344,Q1
MT0013633209,Q1
MT0013673733,Q4
MT0013676763,Q4
MT0013790748,Q2
MT0013800071,Q1
MT0013822237,Q2
MT0013824918,Q2
MT0013885218,Q2
MT0013914319,Q1
MT0013955066,Q4
MT0014046859,Q3
MT0014050974,Q3
MT0014118699,Q3
MT0014134790,Q4
MT0014157389,Q2
MT0014192212,Q3
MT0014475915,Q4
MT0014489361,Q4
MT0014507179,Q4
MT0014576739,Q1
MT0014584319,Q4
MT0014584473,Q3
MT0014586720,Q1
MT0014615863,Q2
MT0014650360,Q1
MT0014665667,Q3
MT0014703649,Q2
MT0014737299,Q3
MT0014794891,Q3
MT0014804830,Q3
MT0014817509,Q2
MT0014838459,Q2
MT0014845647,Q2
MT0014878397,Q2
MT0014997916,Q2
MT0015004289,Q3
MT0015005100,Q1
MT0015026293,Q4
MT0015028144,Q1
MT0015510419,Q3
MT0015514030,Q3
MT0015541501,Q2
MT0015599764,Q3
MT0015653546,Q4
MT0015659520,Q4
MT0015664499,Q3
MT0015665796,Q3
MT0015680193,Q1
MT0015682649,Q3
MT0015706588,Q4
MT0015715008,Q3
MT0015742096,Q1
MT0015849191,Q4
MT0015934550,Q1
MT0015962332,Q2
MT0015971175,Q2
MT0016743722,Q2
MT0016887233,Q4
MT0016897938,Q4
MT0016932218,Q4
MT0016972827,Q1
MT0017475710,Q2
MT0017667847,Q4
MT0017672677,Q4
MT0017797643,Q1
MT0018024152,Q1
MT0018029465,Q1
MT0018031959,Q1
MT0018450519,Q1
MT0018617125,Q1
MT0018651126,Q1
MT0026158301,Q1
MT0026330298,Q3
MT0026520343,Q2
MT0026608644,Q4
MT0026690204,Q3
MT0026727455,Q1
MT0026753600,Q1
MT0026753827,Q1
MT0026776967,Q4
MT0026795261,Q1
MT0026898936,Q2
MT0026905937,Q3
MT0026919017,Q4
MT0026963572,Q2
MT0027002641,Q1
MT0027035970,Q1
MT0027048677,Q1
MT0027100467,Q4
MT0027159893,Q1
MT0027256574,Q2
MT0027478016,Q1
MT0027835071,Q4
MT0027976714,Q4
MT0028066739,Q4
MT0028159092,Q2
MT0028167155,Q2
MT0028172888,Q2
MT0028213435,Q2
MT0028220133,Q1
MT0028335228,Q4
MT0028345470,Q2
MT0028374210,Q4
MT0028445777,Q1
MT0028469910,Q2
MT0028495262,Q1
MT0028550964,Q4
MT0028560561,Q2
MT0028596249,Q4
MT0028617657,Q1
MT0028627699,Q1
MT0028633715,Q2
MT0028648077,Q1
MT0028698324,Q3
MT0028709149,Q4
MT0028750297,Q2
MT0028813196,Q4
MT0028947009,Q3
MT0029065626,Q1
MT0029080694,Q4
MT0029099688,Q2
MT0029492542,Q1
MT0029553110,Q4
MT0029772184,Q2
MT0029861029,Q3
MT0029874624,Q1
MT0029877658,Q3
MT0029976595,Q4
MT0030007733,Q4
MT0030036616,Q4
MT0030097602,Q4
MT0030124886,Q2
MT0030160582,Q2
MT0030203729,Q2
MT0030214520,Q2
MT0030247926,Q3
MT0030252676,Q3
MT0030271679,Q2
MT0030282917,Q4
MT0030286920,Q4
MT0030304982,Q3
MT0030319227,Q4
MT0030321464,Q3
MT0030369896,Q4
MT0030400613,Q3
MT0030422114,Q3
MT0030442334,Q4
MT0030481897,Q4
MT0030484925,Q1
MT0030487841,Q1
MT0030494794,Q4
MT0030495725,Q4
MT0031495046,Q4
MT0031544440,Q1
MT0031693432,Q3
MT0031807708,Q4
MT0031826774,Q4
MT0031827474,Q4
MT0031886830,Q4
MT0031898123,Q4
MT0031922089,Q1
MT0031926476,Q2
MT0031951901,Q3
MT0031996897,Q1
MT0032061241,Q1
MT0032181833,Q1
MT0032235381,Q1
MT0032297238,Q2
MT0032332758,Q1
MT0032405040,Q1
MT0032698237,Q4
MT0032892262,Q1
MT0032957418,Q2
MT0033084992,Q2
MT0033097471,Q2
MT0033159895,Q3
MT0033177286,Q3
MT0033226848,Q3
MT0033287096,Q2
MT0033287114,Q2
MT0033317646,Q3
MT0033326377,Q4
MT0033345959,Q3
MT0033391280,Q4
MT0033397838,Q1
MT0033410438,Q4
MT0033415296,Q1
MT0033443279,Q1
MT0033461826,Q4
MT0033841575,Q1
MT0033940994,Q1
MT0033958450,Q1
MT0034005433,Q4
MT0034013916,Q2
MT0034015731,Q4
MT0034106363,Q4
MT0034125967,Q1
MT0034136847,Q3
MT0034148562,Q4
MT0034160981,Q4
MT0034186195,Q4
MT0034186620,Q4
MT0034203861,Q4
MT0034212119,Q4
MT0034403951,Q2
MT0034555338,Q1
MT0034574251,Q3
MT0034577404,Q4
MT0034694413,Q2
MT0034816599,Q2
MT0034982187,Q3
MT0034988131,Q1
MT0034991842,Q2
MT0035000258,Q4
MT0035007057,Q3
MT0035241621,Q2
MT0035316286,Q3
MT0035332835,Q2
MT0035334027,Q2
MT0036111736,Q2
MT0036368550,Q1
MT0040033011,Q3
