Feature;Name;Toolbox;Category;Family;Parent;Description
F0015;Beat Spectrum (mean);MIR Toolbox 1.6.1;Rhythm;Beat Spectrum;Beat Spectrum;The beat spectrum has been proposed as a measure of acoustic self-similarity as a function of time lag, and is computed from the similarity matrix (using Frame Similarity Matrix: mirsimatrix) (Foote, Cooper and Nam, 2002).
F0016;Beat Spectrum (std);MIR Toolbox 1.6.1;Rhythm;Beat Spectrum;Beat Spectrum;The beat spectrum has been proposed as a measure of acoustic self-similarity as a function of time lag, and is computed from the similarity matrix (using Frame Similarity Matrix: mirsimatrix) (Foote, Cooper and Nam, 2002).
F0017;Beat Spectrum (skewness);MIR Toolbox 1.6.1;Rhythm;Beat Spectrum;Beat Spectrum;The beat spectrum has been proposed as a measure of acoustic self-similarity as a function of time lag, and is computed from the similarity matrix (using Frame Similarity Matrix: mirsimatrix) (Foote, Cooper and Nam, 2002).
F0018;Beat Spectrum (kurtosis);MIR Toolbox 1.6.1;Rhythm;Beat Spectrum;Beat Spectrum;The beat spectrum has been proposed as a measure of acoustic self-similarity as a function of time lag, and is computed from the similarity matrix (using Frame Similarity Matrix: mirsimatrix) (Foote, Cooper and Nam, 2002).
F0019;Beat Spectrum (max);MIR Toolbox 1.6.1;Rhythm;Beat Spectrum;Beat Spectrum;The beat spectrum has been proposed as a measure of acoustic self-similarity as a function of time lag, and is computed from the similarity matrix (using Frame Similarity Matrix: mirsimatrix) (Foote, Cooper and Nam, 2002).
F0020;Beat Spectrum (min);MIR Toolbox 1.6.1;Rhythm;Beat Spectrum;Beat Spectrum;The beat spectrum has been proposed as a measure of acoustic self-similarity as a function of time lag, and is computed from the similarity matrix (using Frame Similarity Matrix: mirsimatrix) (Foote, Cooper and Nam, 2002).
F0021;Events Density;MIR Toolbox 1.6.1;Rhythm;Events Density;Events Density;Estimates the average frequency of events, i.e., the number of note onsets per second.
F0022;Tempo (Classical);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Classical);Estimates the tempo by detecting periodicities from the onset detection curve. According to the manual, the classical paradigm for tempo estimation is based on detecting periodicities in a range of BPMs, and choosing the maximum periodicity score for each frame separately. The classical method generates a tempo curve with a lot of shifts from one metrical level to another.
F0023;Tempo (Classical) (mean);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Classical);Estimates the tempo by detecting periodicities from the onset detection curve. According to the manual, the classical paradigm for tempo estimation is based on detecting periodicities in a range of BPMs, and choosing the maximum periodicity score for each frame separately. The classical method generates a tempo curve with a lot of shifts from one metrical level to another.
F0024;Tempo (Classical) (std);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Classical);Estimates the tempo by detecting periodicities from the onset detection curve. According to the manual, the classical paradigm for tempo estimation is based on detecting periodicities in a range of BPMs, and choosing the maximum periodicity score for each frame separately. The classical method generates a tempo curve with a lot of shifts from one metrical level to another.
F0025;Tempo (Classical) (skewness);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Classical);Estimates the tempo by detecting periodicities from the onset detection curve. According to the manual, the classical paradigm for tempo estimation is based on detecting periodicities in a range of BPMs, and choosing the maximum periodicity score for each frame separately. The classical method generates a tempo curve with a lot of shifts from one metrical level to another.
F0026;Tempo (Classical) (kurtosis);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Classical);Estimates the tempo by detecting periodicities from the onset detection curve. According to the manual, the classical paradigm for tempo estimation is based on detecting periodicities in a range of BPMs, and choosing the maximum periodicity score for each frame separately. The classical method generates a tempo curve with a lot of shifts from one metrical level to another.
F0027;Tempo (Classical) (max);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Classical);Estimates the tempo by detecting periodicities from the onset detection curve. According to the manual, the classical paradigm for tempo estimation is based on detecting periodicities in a range of BPMs, and choosing the maximum periodicity score for each frame separately. The classical method generates a tempo curve with a lot of shifts from one metrical level to another.
F0028;Tempo (Classical) (min);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Classical);Estimates the tempo by detecting periodicities from the onset detection curve. According to the manual, the classical paradigm for tempo estimation is based on detecting periodicities in a range of BPMs, and choosing the maximum periodicity score for each frame separately. The classical method generates a tempo curve with a lot of shifts from one metrical level to another.
F0029;Tempo (Metre) (mean);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Metre);Estimates the tempo by detecting periodicities from the onset detection curve. The metre-based version tracks tempo by building a hierarchical metrical structure (using mirmetre). This enables to find coherent metrical levels leading to a continuous tempo curve.
F0030;Tempo (Metre) (std);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Metre);Estimates the tempo by detecting periodicities from the onset detection curve. The metre-based version tracks tempo by building a hierarchical metrical structure (using mirmetre). This enables to find coherent metrical levels leading to a continuous tempo curve.
F0031;Tempo (Metre) (skewness);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Metre);Estimates the tempo by detecting periodicities from the onset detection curve. The metre-based version tracks tempo by building a hierarchical metrical structure (using mirmetre). This enables to find coherent metrical levels leading to a continuous tempo curve.
F0032;Tempo (Metre) (kurtosis);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Metre);Estimates the tempo by detecting periodicities from the onset detection curve. The metre-based version tracks tempo by building a hierarchical metrical structure (using mirmetre). This enables to find coherent metrical levels leading to a continuous tempo curve.
F0033;Tempo (Metre) (max);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Metre);Estimates the tempo by detecting periodicities from the onset detection curve. The metre-based version tracks tempo by building a hierarchical metrical structure (using mirmetre). This enables to find coherent metrical levels leading to a continuous tempo curve.
F0034;Tempo (Metre) (min);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Metre);Estimates the tempo by detecting periodicities from the onset detection curve. The metre-based version tracks tempo by building a hierarchical metrical structure (using mirmetre). This enables to find coherent metrical levels leading to a continuous tempo curve.
F0035;Tempo (Metre) Frame (mean);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Metre);(Using decomposed frames as input!) Estimates the tempo by detecting periodicities from the onset detection curve. The metre-based version tracks tempo by building a hierarchical metrical structure (using mirmetre). This enables to find coherent metrical levels leading to a continuous tempo curve.
F0036;Tempo (Metre) Frame (std);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Metre);(Using decomposed frames as input!) Estimates the tempo by detecting periodicities from the onset detection curve. The metre-based version tracks tempo by building a hierarchical metrical structure (using mirmetre). This enables to find coherent metrical levels leading to a continuous tempo curve.
F0037;Tempo (Metre) Frame (skewness);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Metre);(Using decomposed frames as input!) Estimates the tempo by detecting periodicities from the onset detection curve. The metre-based version tracks tempo by building a hierarchical metrical structure (using mirmetre). This enables to find coherent metrical levels leading to a continuous tempo curve.
F0038;Tempo (Metre) Frame (kurtosis);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Metre);(Using decomposed frames as input!) Estimates the tempo by detecting periodicities from the onset detection curve. The metre-based version tracks tempo by building a hierarchical metrical structure (using mirmetre). This enables to find coherent metrical levels leading to a continuous tempo curve.
F0039;Tempo (Metre) Frame (max);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Metre);(Using decomposed frames as input!) Estimates the tempo by detecting periodicities from the onset detection curve. The metre-based version tracks tempo by building a hierarchical metrical structure (using mirmetre). This enables to find coherent metrical levels leading to a continuous tempo curve.
F0040;Tempo (Metre) Frame (min);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo (Metre);(Using decomposed frames as input!) Estimates the tempo by detecting periodicities from the onset detection curve. The metre-based version tracks tempo by building a hierarchical metrical structure (using mirmetre). This enables to find coherent metrical levels leading to a continuous tempo curve.
F0041;Tempo Change (mean);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo Change;The difference between successive values of the tempo curve. Tempo change is expressed independently from the choice of a metrical level by computing the ratio of tempo values between successive frames, and is expressed in logarithmic scale (base 2), so that no tempo change gives a value of 0, increase of tempo gives positive value, and decrease of tempo gives negative value.
F0042;Tempo Change (std);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo Change;The difference between successive values of the tempo curve. Tempo change is expressed independently from the choice of a metrical level by computing the ratio of tempo values between successive frames, and is expressed in logarithmic scale (base 2), so that no tempo change gives a value of 0, increase of tempo gives positive value, and decrease of tempo gives negative value.
F0043;Tempo Change (skewness);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo Change;The difference between successive values of the tempo curve. Tempo change is expressed independently from the choice of a metrical level by computing the ratio of tempo values between successive frames, and is expressed in logarithmic scale (base 2), so that no tempo change gives a value of 0, increase of tempo gives positive value, and decrease of tempo gives negative value.
F0044;Tempo Change (kurtosis);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo Change;The difference between successive values of the tempo curve. Tempo change is expressed independently from the choice of a metrical level by computing the ratio of tempo values between successive frames, and is expressed in logarithmic scale (base 2), so that no tempo change gives a value of 0, increase of tempo gives positive value, and decrease of tempo gives negative value.
F0045;Tempo Change (max);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo Change;The difference between successive values of the tempo curve. Tempo change is expressed independently from the choice of a metrical level by computing the ratio of tempo values between successive frames, and is expressed in logarithmic scale (base 2), so that no tempo change gives a value of 0, increase of tempo gives positive value, and decrease of tempo gives negative value.
F0046;Tempo Change (min);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo Change;The difference between successive values of the tempo curve. Tempo change is expressed independently from the choice of a metrical level by computing the ratio of tempo values between successive frames, and is expressed in logarithmic scale (base 2), so that no tempo change gives a value of 0, increase of tempo gives positive value, and decrease of tempo gives negative value.
F0047;Tempo Change (Frame) (mean);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo Change;The difference between successive values of the tempo curve. Tempo change is expressed independently from the choice of a metrical level by computing the ratio of tempo values between successive frames, and is expressed in logarithmic scale (base 2), so that no tempo change gives a value of 0, increase of tempo gives positive value, and decrease of tempo gives negative value.
F0048;Tempo Change (Frame) (std);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo Change;The difference between successive values of the tempo curve. Tempo change is expressed independently from the choice of a metrical level by computing the ratio of tempo values between successive frames, and is expressed in logarithmic scale (base 2), so that no tempo change gives a value of 0, increase of tempo gives positive value, and decrease of tempo gives negative value.
F0049;Tempo Change (Frame) (skewness);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo Change;The difference between successive values of the tempo curve. Tempo change is expressed independently from the choice of a metrical level by computing the ratio of tempo values between successive frames, and is expressed in logarithmic scale (base 2), so that no tempo change gives a value of 0, increase of tempo gives positive value, and decrease of tempo gives negative value.
F0050;Tempo Change (Frame) (kurtosis);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo Change;The difference between successive values of the tempo curve. Tempo change is expressed independently from the choice of a metrical level by computing the ratio of tempo values between successive frames, and is expressed in logarithmic scale (base 2), so that no tempo change gives a value of 0, increase of tempo gives positive value, and decrease of tempo gives negative value.
F0051;Tempo Change (Frame) (max);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo Change;The difference between successive values of the tempo curve. Tempo change is expressed independently from the choice of a metrical level by computing the ratio of tempo values between successive frames, and is expressed in logarithmic scale (base 2), so that no tempo change gives a value of 0, increase of tempo gives positive value, and decrease of tempo gives negative value.
F0052;Tempo Change (Frame) (min);MIR Toolbox 1.6.1;Rhythm;Tempo;Tempo Change;The difference between successive values of the tempo curve. Tempo change is expressed independently from the choice of a metrical level by computing the ratio of tempo values between successive frames, and is expressed in logarithmic scale (base 2), so that no tempo change gives a value of 0, increase of tempo gives positive value, and decrease of tempo gives negative value.
F0053;Metrical Centroid and Strength (mean);MIR Toolbox 1.6.1;Rhythm;Metrical Centroid and Strength;Metrical Centroid and Strength;Dynamic metrical centroid: an assessment of metrical activity that is based on the computation of the centroid of the selected metrical levels. Dynamic metrical strength: indicates whether there is a clear and strong pulsation, or even a strong metrical hierarchy, or whether on in the other hand the pulsation is somewhat hidden, unclear, or there is a complex mixture of pulsations.
F0054;Metrical Centroid and Strength (std);MIR Toolbox 1.6.1;Rhythm;Metrical Centroid and Strength;Metrical Centroid and Strength;Dynamic metrical centroid: an assessment of metrical activity that is based on the computation of the centroid of the selected metrical levels. Dynamic metrical strength: indicates whether there is a clear and strong pulsation, or even a strong metrical hierarchy, or whether on in the other hand the pulsation is somewhat hidden, unclear, or there is a complex mixture of pulsations.
F0055;Metrical Centroid and Strength (skewness);MIR Toolbox 1.6.1;Rhythm;Metrical Centroid and Strength;Metrical Centroid and Strength;Dynamic metrical centroid: an assessment of metrical activity that is based on the computation of the centroid of the selected metrical levels. Dynamic metrical strength: indicates whether there is a clear and strong pulsation, or even a strong metrical hierarchy, or whether on in the other hand the pulsation is somewhat hidden, unclear, or there is a complex mixture of pulsations.
F0056;Metrical Centroid and Strength (kurtosis);MIR Toolbox 1.6.1;Rhythm;Metrical Centroid and Strength;Metrical Centroid and Strength;Dynamic metrical centroid: an assessment of metrical activity that is based on the computation of the centroid of the selected metrical levels. Dynamic metrical strength: indicates whether there is a clear and strong pulsation, or even a strong metrical hierarchy, or whether on in the other hand the pulsation is somewhat hidden, unclear, or there is a complex mixture of pulsations.
F0057;Metrical Centroid and Strength (max);MIR Toolbox 1.6.1;Rhythm;Metrical Centroid and Strength;Metrical Centroid and Strength;Dynamic metrical centroid: an assessment of metrical activity that is based on the computation of the centroid of the selected metrical levels. Dynamic metrical strength: indicates whether there is a clear and strong pulsation, or even a strong metrical hierarchy, or whether on in the other hand the pulsation is somewhat hidden, unclear, or there is a complex mixture of pulsations.
F0058;Metrical Centroid and Strength (min);MIR Toolbox 1.6.1;Rhythm;Metrical Centroid and Strength;Metrical Centroid and Strength;Dynamic metrical centroid: an assessment of metrical activity that is based on the computation of the centroid of the selected metrical levels. Dynamic metrical strength: indicates whether there is a clear and strong pulsation, or even a strong metrical hierarchy, or whether on in the other hand the pulsation is somewhat hidden, unclear, or there is a complex mixture of pulsations.
F0059;Metrical Centroid and Strength (Frame) (mean);MIR Toolbox 1.6.1;Rhythm;Metrical Centroid and Strength;Metrical Centroid and Strength;Dynamic metrical centroid: an assessment of metrical activity that is based on the computation of the centroid of the selected metrical levels. Dynamic metrical strength: indicates whether there is a clear and strong pulsation, or even a strong metrical hierarchy, or whether on in the other hand the pulsation is somewhat hidden, unclear, or there is a complex mixture of pulsations.
F0060;Metrical Centroid and Strength (Frame) (std);MIR Toolbox 1.6.1;Rhythm;Metrical Centroid and Strength;Metrical Centroid and Strength;Dynamic metrical centroid: an assessment of metrical activity that is based on the computation of the centroid of the selected metrical levels. Dynamic metrical strength: indicates whether there is a clear and strong pulsation, or even a strong metrical hierarchy, or whether on in the other hand the pulsation is somewhat hidden, unclear, or there is a complex mixture of pulsations.
F0061;Metrical Centroid and Strength (Frame) (skewness);MIR Toolbox 1.6.1;Rhythm;Metrical Centroid and Strength;Metrical Centroid and Strength;Dynamic metrical centroid: an assessment of metrical activity that is based on the computation of the centroid of the selected metrical levels. Dynamic metrical strength: indicates whether there is a clear and strong pulsation, or even a strong metrical hierarchy, or whether on in the other hand the pulsation is somewhat hidden, unclear, or there is a complex mixture of pulsations.
F0062;Metrical Centroid and Strength (Frame) (kurtosis);MIR Toolbox 1.6.1;Rhythm;Metrical Centroid and Strength;Metrical Centroid and Strength;Dynamic metrical centroid: an assessment of metrical activity that is based on the computation of the centroid of the selected metrical levels. Dynamic metrical strength: indicates whether there is a clear and strong pulsation, or even a strong metrical hierarchy, or whether on in the other hand the pulsation is somewhat hidden, unclear, or there is a complex mixture of pulsations.
F0063;Metrical Centroid and Strength (Frame) (max);MIR Toolbox 1.6.1;Rhythm;Metrical Centroid and Strength;Metrical Centroid and Strength;Dynamic metrical centroid: an assessment of metrical activity that is based on the computation of the centroid of the selected metrical levels. Dynamic metrical strength: indicates whether there is a clear and strong pulsation, or even a strong metrical hierarchy, or whether on in the other hand the pulsation is somewhat hidden, unclear, or there is a complex mixture of pulsations.
F0064;Metrical Centroid and Strength (Frame) (min);MIR Toolbox 1.6.1;Rhythm;Metrical Centroid and Strength;Metrical Centroid and Strength;Dynamic metrical centroid: an assessment of metrical activity that is based on the computation of the centroid of the selected metrical levels. Dynamic metrical strength: indicates whether there is a clear and strong pulsation, or even a strong metrical hierarchy, or whether on in the other hand the pulsation is somewhat hidden, unclear, or there is a complex mixture of pulsations.
F0065;Pulse Clarity;MIR Toolbox 1.6.1;Rhythm;Pulse Clarity;Pulse Clarity;Estimates the rhythmic clarity, indicating the strength of the beats estimated by the mirtempo function.
F0066;Pulse Clarity (Frame) (mean);MIR Toolbox 1.6.1;Rhythm;Pulse Clarity;Pulse Clarity;Estimates the rhythmic clarity, indicating the strength of the beats estimated by the mirtempo function.
F0067;Pulse Clarity (Frame) (std);MIR Toolbox 1.6.1;Rhythm;Pulse Clarity;Pulse Clarity;Estimates the rhythmic clarity, indicating the strength of the beats estimated by the mirtempo function.
F0068;Pulse Clarity (Frame) (skewness);MIR Toolbox 1.6.1;Rhythm;Pulse Clarity;Pulse Clarity;Estimates the rhythmic clarity, indicating the strength of the beats estimated by the mirtempo function.
F0069;Pulse Clarity (Frame) (kurtosis);MIR Toolbox 1.6.1;Rhythm;Pulse Clarity;Pulse Clarity;Estimates the rhythmic clarity, indicating the strength of the beats estimated by the mirtempo function.
F0070;Pulse Clarity (Frame) (max);MIR Toolbox 1.6.1;Rhythm;Pulse Clarity;Pulse Clarity;Estimates the rhythmic clarity, indicating the strength of the beats estimated by the mirtempo function.
F0071;Pulse Clarity (Frame) (min);MIR Toolbox 1.6.1;Rhythm;Pulse Clarity;Pulse Clarity;Estimates the rhythmic clarity, indicating the strength of the beats estimated by the mirtempo function.
F0072;Attack Time (mean);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Time;Temporal Duration of the Attack Phases
F0073;Attack Time (std);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Time;Temporal Duration of the Attack Phases
F0074;Attack Time (skewness);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Time;Temporal Duration of the Attack Phases
F0075;Attack Time (kurtosis);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Time;Temporal Duration of the Attack Phases
F0076;Attack Time (max);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Time;Temporal Duration of the Attack Phases
F0077;Attack Time (min);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Time;Temporal Duration of the Attack Phases
F0078;Attack Slope (mean);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Slope;Average Slope of the Attack Phases
F0079;Attack Slope (std);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Slope;Average Slope of the Attack Phases
F0080;Attack Slope (skewness);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Slope;Average Slope of the Attack Phases
F0081;Attack Slope (kurtosis);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Slope;Average Slope of the Attack Phases
F0082;Attack Slope (max);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Slope;Average Slope of the Attack Phases
F0083;Attack Slope (min);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Slope;Average Slope of the Attack Phases
F0084;Attack Leap (mean);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Leap;Attack Phase Amplitude
F0085;Attack Leap (std);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Leap;Attack Phase Amplitude
F0086;Attack Leap (skewness);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Leap;Attack Phase Amplitude
F0087;Attack Leap (kurtosis);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Leap;Attack Phase Amplitude
F0088;Attack Leap (max);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Leap;Attack Phase Amplitude
F0089;Attack Leap (min);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Attack Leap;Attack Phase Amplitude
F0090;Release Phase Slope (mean);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Release Phase Slope;Average Slope of the Release Phases
F0091;Release Phase Slope (std);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Release Phase Slope;Average Slope of the Release Phases
F0092;Release Phase Slope (skewness);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Release Phase Slope;Average Slope of the Release Phases
F0093;Release Phase Slope (kurtosis);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Release Phase Slope;Average Slope of the Release Phases
F0094;Release Phase Slope (max);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Release Phase Slope;Average Slope of the Release Phases
F0095;Release Phase Slope (min);MIR Toolbox 1.6.1;Tone Color;Attack and Release;Release Phase Slope;Average Slope of the Release Phases
F0096;Zero Crossing Rate (mean);MIR Toolbox 1.6.1;Tone Color;Zero Crossing Rate;Zero Crossing Rate;Waveform Sign-Change Rate. A simple indicator of noisiness consists in counting the number of times the signal crosses the X-axis (or, in other words, changes sign).
F0097;Zero Crossing Rate (std);MIR Toolbox 1.6.1;Tone Color;Zero Crossing Rate;Zero Crossing Rate;Waveform Sign-Change Rate. A simple indicator of noisiness consists in counting the number of times the signal crosses the X-axis (or, in other words, changes sign).
F0098;Zero Crossing Rate (skewness);MIR Toolbox 1.6.1;Tone Color;Zero Crossing Rate;Zero Crossing Rate;Waveform Sign-Change Rate. A simple indicator of noisiness consists in counting the number of times the signal crosses the X-axis (or, in other words, changes sign).
F0099;Zero Crossing Rate (kurtosis);MIR Toolbox 1.6.1;Tone Color;Zero Crossing Rate;Zero Crossing Rate;Waveform Sign-Change Rate. A simple indicator of noisiness consists in counting the number of times the signal crosses the X-axis (or, in other words, changes sign).
F0100;Zero Crossing Rate (max);MIR Toolbox 1.6.1;Tone Color;Zero Crossing Rate;Zero Crossing Rate;Waveform Sign-Change Rate. A simple indicator of noisiness consists in counting the number of times the signal crosses the X-axis (or, in other words, changes sign).
F0101;Zero Crossing Rate (min);MIR Toolbox 1.6.1;Tone Color;Zero Crossing Rate;Zero Crossing Rate;Waveform Sign-Change Rate. A simple indicator of noisiness consists in counting the number of times the signal crosses the X-axis (or, in other words, changes sign).
F0102;Rolloff (mean);MIR Toolbox 1.6.1;Tone Color;Rolloff;Rolloff;The amount of high frequency in the signal. Consists in finding the frequency such that a certain fraction of the total energy is contained below that frequency. In MIR Toolbox, this ratio is fixed by default to 0.85.
F0103;Rolloff (std);MIR Toolbox 1.6.1;Tone Color;Rolloff;Rolloff;The amount of high frequency in the signal. Consists in finding the frequency such that a certain fraction of the total energy is contained below that frequency. In MIR Toolbox, this ratio is fixed by default to 0.85.
F0104;Rolloff (skewness);MIR Toolbox 1.6.1;Tone Color;Rolloff;Rolloff;The amount of high frequency in the signal. Consists in finding the frequency such that a certain fraction of the total energy is contained below that frequency. In MIR Toolbox, this ratio is fixed by default to 0.85.
F0105;Rolloff (kurtosis);MIR Toolbox 1.6.1;Tone Color;Rolloff;Rolloff;The amount of high frequency in the signal. Consists in finding the frequency such that a certain fraction of the total energy is contained below that frequency. In MIR Toolbox, this ratio is fixed by default to 0.85.
F0106;Rolloff (max);MIR Toolbox 1.6.1;Tone Color;Rolloff;Rolloff;The amount of high frequency in the signal. Consists in finding the frequency such that a certain fraction of the total energy is contained below that frequency. In MIR Toolbox, this ratio is fixed by default to 0.85.
F0107;Rolloff (min);MIR Toolbox 1.6.1;Tone Color;Rolloff;Rolloff;The amount of high frequency in the signal. Consists in finding the frequency such that a certain fraction of the total energy is contained below that frequency. In MIR Toolbox, this ratio is fixed by default to 0.85.
F0108;High-frequency Energy (mean);MIR Toolbox 1.6.1;Tone Color;High-frequency Energy;High-frequency Energy;Another metric of High-frequency Energy also known as Brightness. Consists in fixing the cut-off frequency, and measuring the amount of energy above that frequency (Juslin, 2000). The result is expressed as a number between 0 and 1.
